Rank,Top Stocks,Profit %,2014 Week: 30 rank,Profit %,2014 Week: 29 rank,Profit %,2014 Week: 28 rank,Profit %,2014 Week: 27 rank,Profit %,2014 Week: 26 rank,Profit %,2014 Week: 25 rank,Profit %,"August, 2014 rank",Profit %,"July, 2014 rank",Profit %,"June, 2014 rank",Profit %,"May, 2014 rank",Profit %,Year: 2014 rank,Profit %
125,SRF,2.73038,126,1.9081,259,0.31386,283,6.78746,121,-2.36842,784,-6.94938,33,17.3386,122,3.7931,358,-1.82227,88,31.9903,413,14.7341,26,175.515
126,VOLTAS,2.72869,147,1.35494,757,-10.0,76,13.2317,621,-14.064,699,-1.82648,434,1.22543,94,4.79851,647,-12.2146,279,16.0149,330,18.1646,195,69.4385
127,NESTLEIND,2.6901,202,0.54591,120,3.89976,626,1.06451,74,-0.140028,546,0.891485,561,-0.469754,107,4.28447,211,4.00223,710,-0.432221,612,4.33228,693,1.38658
128,CONCOR,2.62678,511,-3.15084,338,-1.11295,516,2.96047,112,-1.9327,150,9.07803,620,-1.4419,275,0.150794,123,8.86361,538,6.84729,364,16.4115,170,75.5065
129,ZENSARTECH,2.58364,727,-7.34038,238,0.66797,569,2.02546,201,-4.77024,467,2.33751,147,7.1197,162,2.58364,406,-3.58123,233,18.4865,657,1.05104,563,19.0055
130,CYBERTECH,2.56411,76,3.90739,719,-7.89474,69,13.6564,493,-10.9091,88,13.2622,646,-1.98474,155,2.85714,224,3.58209,742,-3.23529,210,25.7874,255,56.5217
131,ROLTA,2.55803,279,-0.563122,526,-3.77868,398,4.75511,513,-11.431,270,5.61545,172,6.3163,150,2.94817,466,-5.61947,591,5.04437,70,43.1635,238,60.1331
132,GHCL,2.55144,52,5.72687,93,5.18518,227,7.93173,680,-15.5649,109,11.2782,639,-1.73834,170,2.38291,149,7.18182,163,23.496,303,19.6211,152,82.9662
133,EXCELINDUS,2.54011,636,-5.07653,118,3.92857,788,-6.93656,571,-12.9578,55,16.2063,15,21.4438,145,3.0914,265,1.59405,10,62.9545,60,44.5333,22,191.857
134,TCI,2.52626,472,-2.69069,382,-1.74082,443,4.06194,583,-13.2314,13,28.167,641,-1.8018,179,2.19396,136,8.25737,388,12.4658,204,26.0804,61,130.8
135,GODREJCP,2.50431,382,-1.78322,67,7.06359,677,0.125,85,-0.729389,692,-1.65349,484,0.512531,159,2.72987,199,4.40884,578,5.55023,720,-3.63501,704,-0.0405064
136,IBWSL,2.5,725,-7.27699,698,-7.39131,757,-2.6087,710,-16.4207,730,-2.65957,3,36.2745,301,-0.243305,788,-29.0493,97,30.047,522,9.39085,678,2.75689
